"TimeStep","Time","f_17-0:0","f_17-0:1","f_17-0:2","Points:0","Points:1","Points:2"
165,1.66,0,0,0,0,0,0
165,1.66,0,0,0,2.2,0,0
165,1.66,0,0,0,2.2,0.41,0
165,1.66,0,0,0,0,0.41,0
165,1.66,0,0,0,0.2,0.2,0
165,1.66,0,0,0,0.25,0.2,0
165,1.66,0,0,0,0.2,0.25,0
165,1.66,0,0,0,0.15,0.2,0
165,1.66,0,0,0,0.2,0.15,0
165,1.66,0,0,0,0.01,0,0
165,1.66,0,0,0,0.02,0,0
165,1.66,0,0,0,0.03,0,0
165,1.66,0,0,0,0.04,0,0
165,1.66,0,0,0,0.05,0,0
165,1.66,0,0,0,0.06,0,0
165,1.66,0,0,0,0.07,0,0
165,1.66,0,0,0,0.08,0,0
165,1.66,0,0,0,0.09,0,0
165,1.66,0,0,0,0.1,0,0
165,1.66,0,0,0,0.11,0,0
165,1.66,0,0,0,0.12,0,0
165,1.66,0,0,0,0.13,0,0
165,1.66,0,0,0,0.14,0,0
165,1.66,0,0,0,0.15,0,0
165,1.66,0,0,0,0.16,0,0
165,1.66,0,0,0,0.17,0,0
165,1.66,0,0,0,0.18,0,0
165,1.66,0,0,0,0.19,0,0
165,1.66,0,0,0,0.2,0,0
165,1.66,0,0,0,0.21,0,0
165,1.66,0,0,0,0.22,0,0
165,1.66,0,0,0,0.23,0,0
165,1.66,0,0,0,0.24,0,0
165,1.66,0,0,0,0.25,0,0
165,1.66,0,0,0,0.26,0,0
165,1.66,0,0,0,0.27,0,0
165,1.66,0,0,0,0.28,0,0
165,1.66,0,0,0,0.29,0,0
165,1.66,0,0,0,0.3,0,0
165,1.66,0,0,0,0.31,0,0
165,1.66,0,0,0,0.32,0,0
165,1.66,0,0,0,0.33,0,0
165,1.66,0,0,0,0.34,0,0
165,1.66,0,0,0,0.35,0,0
165,1.66,0,0,0,0.36,0,0
165,1.66,0,0,0,0.37,0,0
165,1.66,0,0,0,0.38,0,0
165,1.66,0,0,0,0.39,0,0
165,1.66,0,0,0,0.4,0,0
165,1.66,0,0,0,0.41,0,0
165,1.66,0,0,0,0.42,0,0
165,1.66,0,0,0,0.43,0,0
165,1.66,0,0,0,0.44,0,0
165,1.66,0,0,0,0.45,0,0
165,1.66,0,0,0,0.46,0,0
165,1.66,0,0,0,0.47,0,0
165,1.66,0,0,0,0.48,0,0
165,1.66,0,0,0,0.49,0,0
165,1.66,0,0,0,0.5,0,0
165,1.66,0,0,0,0.51,0,0
165,1.66,0,0,0,0.52,0,0
165,1.66,0,0,0,0.53,0,0
165,1.66,0,0,0,0.54,0,0
165,1.66,0,0,0,0.55,0,0
165,1.66,0,0,0,0.56,0,0
165,1.66,0,0,0,0.57,0,0
165,1.66,0,0,0,0.58,0,0
165,1.66,0,0,0,0.59,0,0
165,1.66,0,0,0,0.6,0,0
165,1.66,0,0,0,0.61,0,0
165,1.66,0,0,0,0.62,0,0
165,1.66,0,0,0,0.63,0,0
165,1.66,0,0,0,0.64,0,0
165,1.66,0,0,0,0.65,0,0
165,1.66,0,0,0,0.66,0,0
165,1.66,0,0,0,0.67,0,0
165,1.66,0,0,0,0.68,0,0
165,1.66,0,0,0,0.69,0,0
165,1.66,0,0,0,0.7,0,0
165,1.66,0,0,0,0.71,0,0
165,1.66,0,0,0,0.72,0,0
165,1.66,0,0,0,0.73,0,0
165,1.66,0,0,0,0.74,0,0
165,1.66,0,0,0,0.75,0,0
165,1.66,0,0,0,0.76,0,0
165,1.66,0,0,0,0.77,0,0
165,1.66,0,0,0,0.78,0,0
165,1.66,0,0,0,0.79,0,0
165,1.66,0,0,0,0.8,0,0
165,1.66,0,0,0,0.81,0,0
165,1.66,0,0,0,0.82,0,0
165,1.66,0,0,0,0.83,0,0
165,1.66,0,0,0,0.84,0,0
165,1.66,0,0,0,0.85,0,0
165,1.66,0,0,0,0.86,0,0
165,1.66,0,0,0,0.87,0,0
165,1.66,0,0,0,0.88,0,0
165,1.66,0,0,0,0.89,0,0
165,1.66,0,0,0,0.9,0,0
165,1.66,0,0,0,0.91,0,0
165,1.66,0,0,0,0.92,0,0
165,1.66,0,0,0,0.93,0,0
165,1.66,0,0,0,0.94,0,0
165,1.66,0,0,0,0.95,0,0
165,1.66,0,0,0,0.96,0,0
165,1.66,0,0,0,0.97,0,0
165,1.66,0,0,0,0.98,0,0
165,1.66,0,0,0,0.99,0,0
165,1.66,0,0,0,1,0,0
165,1.66,0,0,0,1.01,0,0
165,1.66,0,0,0,1.02,0,0
165,1.66,0,0,0,1.03,0,0
165,1.66,0,0,0,1.04,0,0
165,1.66,0,0,0,1.05,0,0
165,1.66,0,0,0,1.06,0,0
165,1.66,0,0,0,1.07,0,0
165,1.66,0,0,0,1.08,0,0
165,1.66,0,0,0,1.09,0,0
165,1.66,0,0,0,1.1,0,0
165,1.66,0,0,0,1.11,0,0
165,1.66,0,0,0,1.12,0,0
165,1.66,0,0,0,1.13,0,0
165,1.66,0,0,0,1.14,0,0
165,1.66,0,0,0,1.15,0,0
165,1.66,0,0,0,1.16,0,0
165,1.66,0,0,0,1.17,0,0
165,1.66,0,0,0,1.18,0,0
165,1.66,0,0,0,1.19,0,0
165,1.66,0,0,0,1.2,0,0
165,1.66,0,0,0,1.21,0,0
165,1.66,0,0,0,1.22,0,0
165,1.66,0,0,0,1.23,0,0
165,1.66,0,0,0,1.24,0,0
165,1.66,0,0,0,1.25,0,0
165,1.66,0,0,0,1.26,0,0
165,1.66,0,0,0,1.27,0,0
165,1.66,0,0,0,1.28,0,0
165,1.66,0,0,0,1.29,0,0
165,1.66,0,0,0,1.3,0,0
165,1.66,0,0,0,1.31,0,0
165,1.66,0,0,0,1.32,0,0
165,1.66,0,0,0,1.33,0,0
165,1.66,0,0,0,1.34,0,0
165,1.66,0,0,0,1.35,0,0
165,1.66,0,0,0,1.36,0,0
165,1.66,0,0,0,1.37,0,0
165,1.66,0,0,0,1.38,0,0
165,1.66,0,0,0,1.39,0,0
165,1.66,0,0,0,1.4,0,0
165,1.66,0,0,0,1.41,0,0
165,1.66,0,0,0,1.42,0,0
165,1.66,0,0,0,1.43,0,0
165,1.66,0,0,0,1.44,0,0
165,1.66,0,0,0,1.45,0,0
165,1.66,0,0,0,1.46,0,0
165,1.66,0,0,0,1.47,0,0
165,1.66,0,0,0,1.48,0,0
165,1.66,0,0,0,1.49,0,0
165,1.66,0,0,0,1.5,0,0
165,1.66,0,0,0,1.51,0,0
165,1.66,0,0,0,1.52,0,0
165,1.66,0,0,0,1.53,0,0
165,1.66,0,0,0,1.54,0,0
165,1.66,0,0,0,1.55,0,0
165,1.66,0,0,0,1.56,0,0
165,1.66,0,0,0,1.57,0,0
165,1.66,0,0,0,1.58,0,0
165,1.66,0,0,0,1.59,0,0
165,1.66,0,0,0,1.6,0,0
165,1.66,0,0,0,1.61,0,0
165,1.66,0,0,0,1.62,0,0
165,1.66,0,0,0,1.63,0,0
165,1.66,0,0,0,1.64,0,0
165,1.66,0,0,0,1.65,0,0
165,1.66,0,0,0,1.66,0,0
165,1.66,0,0,0,1.67,0,0
165,1.66,0,0,0,1.68,0,0
165,1.66,0,0,0,1.69,0,0
165,1.66,0,0,0,1.7,0,0
165,1.66,0,0,0,1.71,0,0
165,1.66,0,0,0,1.72,0,0
165,1.66,0,0,0,1.73,0,0
165,1.66,0,0,0,1.74,0,0
165,1.66,0,0,0,1.75,0,0
165,1.66,0,0,0,1.76,0,0
165,1.66,0,0,0,1.77,0,0
165,1.66,0,0,0,1.78,0,0
165,1.66,0,0,0,1.79,0,0
165,1.66,0,0,0,1.8,0,0
165,1.66,0,0,0,1.81,0,0
165,1.66,0,0,0,1.82,0,0
165,1.66,0,0,0,1.83,0,0
165,1.66,0,0,0,1.84,0,0
165,1.66,0,0,0,1.85,0,0
165,1.66,0,0,0,1.86,0,0
165,1.66,0,0,0,1.87,0,0
165,1.66,0,0,0,1.88,0,0
165,1.66,0,0,0,1.89,0,0
165,1.66,0,0,0,1.9,0,0
165,1.66,0,0,0,1.91,0,0
165,1.66,0,0,0,1.92,0,0
165,1.66,0,0,0,1.93,0,0
165,1.66,0,0,0,1.94,0,0
165,1.66,0,0,0,1.95,0,0
165,1.66,0,0,0,1.96,0,0
165,1.66,0,0,0,1.97,0,0
165,1.66,0,0,0,1.98,0,0
165,1.66,0,0,0,1.99,0,0
165,1.66,0,0,0,2,0,0
165,1.66,0,0,0,2.01,0,0
165,1.66,0,0,0,2.02,0,0
165,1.66,0,0,0,2.03,0,0
165,1.66,0,0,0,2.04,0,0
165,1.66,0,0,0,2.05,0,0
165,1.66,0,0,0,2.06,0,0
165,1.66,0,0,0,2.07,0,0
165,1.66,0,0,0,2.08,0,0
165,1.66,0,0,0,2.09,0,0
165,1.66,0,0,0,2.1,0,0
165,1.66,0,0,0,2.11,0,0
165,1.66,0,0,0,2.12,0,0
165,1.66,0,0,0,2.13,0,0
165,1.66,0,0,0,2.14,0,0
165,1.66,0,0,0,2.15,0,0
165,1.66,0,0,0,2.16,0,0
165,1.66,0,0,0,2.17,0,0
165,1.66,0,0,0,2.18,0,0
165,1.66,0,0,0,2.19,0,0
165,1.66,0.19534,-2.6956e-05,0,2.2,0.01,0
165,1.66,0.3773,-6.3035e-05,0,2.2,0.02,0
165,1.66,0.54286,-0.00011888,0,2.2,0.03,0
165,1.66,0.68981,-0.0001915,0,2.2,0.04,0
165,1.66,0.81691,-0.00028383,0,2.2,0.05,0
165,1.66,0.92392,-0.00040094,0,2.2,0.06,0
165,1.66,1.0116,-0.0005443,0,2.2,0.07,0
165,1.66,1.0814,-0.00071436,0,2.2,0.08,0
165,1.66,1.1354,-0.00091393,0,2.2,0.09,0
165,1.66,1.1759,-0.0011505,0,2.2,0.1,0
165,1.66,1.2054,-0.0014358,0,2.2,0.11,0
165,1.66,1.2263,-0.0017885,0,2.2,0.12,0
165,1.66,1.2405,-0.0022248,0,2.2,0.13,0
165,1.66,1.2499,-0.0027527,0,2.2,0.14,0
165,1.66,1.256,-0.0033691,0,2.2,0.15,0
165,1.66,1.2599,-0.0040503,0,2.2,0.16,0
165,1.66,1.2625,-0.0047597,0,2.2,0.17,0
165,1.66,1.2643,-0.0054496,0,2.2,0.18,0
165,1.66,1.2658,-0.0060671,0,2.2,0.19,0
165,1.66,1.2671,-0.0065627,0,2.2,0.2,0
165,1.66,1.2683,-0.0068885,0,2.2,0.21,0
165,1.66,1.2693,-0.0070205,0,2.2,0.22,0
165,1.66,1.2698,-0.0069487,0,2.2,0.23,0
165,1.66,1.2696,-0.0066806,0,2.2,0.24,0
165,1.66,1.2681,-0.0062392,0,2.2,0.25,0
165,1.66,1.2647,-0.0056586,0,2.2,0.26,0
165,1.66,1.2586,-0.0049784,0,2.2,0.27,0
165,1.66,1.2487,-0.004241,0,2.2,0.28,0
165,1.66,1.2335,-0.0034894,0,2.2,0.29,0
165,1.66,1.2114,-0.0027627,0,2.2,0.3,0
165,1.66,1.1804,-0.0020996,0,2.2,0.31,0
165,1.66,1.1384,-0.0015299,0,2.2,0.32,0
165,1.66,1.0831,-0.0010732,0,2.2,0.33,0
165,1.66,1.0122,-0.00073057,0,2.2,0.34,0
165,1.66,0.92378,-0.00048751,0,2.2,0.35,0
165,1.66,0.81627,-0.0003209,0,2.2,0.36,0
165,1.66,0.68893,-0.00020684,0,2.2,0.37,0
165,1.66,0.54193,-0.00012504,0,2.2,0.38,0
165,1.66,0.3765,-6.4252e-05,0,2.2,0.39,0
165,1.66,0.19484,-1.8073e-05,0,2.2,0.4,0
165,1.66,0,0,0,2.19,0.41,0
165,1.66,0,0,0,2.18,0.41,0
165,1.66,0,0,0,2.17,0.41,0
165,1.66,0,0,0,2.16,0.41,0
165,1.66,0,0,0,2.15,0.41,0
165,1.66,0,0,0,2.14,0.41,0
165,1.66,0,0,0,2.13,0.41,0
165,1.66,0,0,0,2.12,0.41,0
165,1.66,0,0,0,2.11,0.41,0
165,1.66,0,0,0,2.1,0.41,0
165,1.66,0,0,0,2.09,0.41,0
165,1.66,0,0,0,2.08,0.41,0
165,1.66,0,0,0,2.07,0.41,0
165,1.66,0,0,0,2.06,0.41,0
165,1.66,0,0,0,2.05,0.41,0
165,1.66,0,0,0,2.04,0.41,0
165,1.66,0,0,0,2.03,0.41,0
165,1.66,0,0,0,2.02,0.41,0
165,1.66,0,0,0,2.01,0.41,0
165,1.66,0,0,0,2,0.41,0
165,1.66,0,0,0,1.99,0.41,0
165,1.66,0,0,0,1.98,0.41,0
165,1.66,0,0,0,1.97,0.41,0
165,1.66,0,0,0,1.96,0.41,0
165,1.66,0,0,0,1.95,0.41,0
165,1.66,0,0,0,1.94,0.41,0
165,1.66,0,0,0,1.93,0.41,0
165,1.66,0,0,0,1.92,0.41,0
165,1.66,0,0,0,1.91,0.41,0
165,1.66,0,0,0,1.9,0.41,0
165,1.66,0,0,0,1.89,0.41,0
165,1.66,0,0,0,1.88,0.41,0
165,1.66,0,0,0,1.87,0.41,0
165,1.66,0,0,0,1.86,0.41,0
165,1.66,0,0,0,1.85,0.41,0
165,1.66,0,0,0,1.84,0.41,0
165,1.66,0,0,0,1.83,0.41,0
165,1.66,0,0,0,1.82,0.41,0
165,1.66,0,0,0,1.81,0.41,0
165,1.66,0,0,0,1.8,0.41,0
165,1.66,0,0,0,1.79,0.41,0
165,1.66,0,0,0,1.78,0.41,0
165,1.66,0,0,0,1.77,0.41,0
165,1.66,0,0,0,1.76,0.41,0
165,1.66,0,0,0,1.75,0.41,0
165,1.66,0,0,0,1.74,0.41,0
165,1.66,0,0,0,1.73,0.41,0
165,1.66,0,0,0,1.72,0.41,0
165,1.66,0,0,0,1.71,0.41,0
165,1.66,0,0,0,1.7,0.41,0
165,1.66,0,0,0,1.69,0.41,0
165,1.66,0,0,0,1.68,0.41,0
165,1.66,0,0,0,1.67,0.41,0
165,1.66,0,0,0,1.66,0.41,0
165,1.66,0,0,0,1.65,0.41,0
165,1.66,0,0,0,1.64,0.41,0
165,1.66,0,0,0,1.63,0.41,0
165,1.66,0,0,0,1.62,0.41,0
165,1.66,0,0,0,1.61,0.41,0
165,1.66,0,0,0,1.6,0.41,0
165,1.66,0,0,0,1.59,0.41,0
165,1.66,0,0,0,1.58,0.41,0
165,1.66,0,0,0,1.57,0.41,0
165,1.66,0,0,0,1.56,0.41,0
165,1.66,0,0,0,1.55,0.41,0
165,1.66,0,0,0,1.54,0.41,0
165,1.66,0,0,0,1.53,0.41,0
165,1.66,0,0,0,1.52,0.41,0
165,1.66,0,0,0,1.51,0.41,0
165,1.66,0,0,0,1.5,0.41,0
165,1.66,0,0,0,1.49,0.41,0
165,1.66,0,0,0,1.48,0.41,0
165,1.66,0,0,0,1.47,0.41,0
165,1.66,0,0,0,1.46,0.41,0
165,1.66,0,0,0,1.45,0.41,0
165,1.66,0,0,0,1.44,0.41,0
165,1.66,0,0,0,1.43,0.41,0
165,1.66,0,0,0,1.42,0.41,0
165,1.66,0,0,0,1.41,0.41,0
165,1.66,0,0,0,1.4,0.41,0
165,1.66,0,0,0,1.39,0.41,0
165,1.66,0,0,0,1.38,0.41,0
165,1.66,0,0,0,1.37,0.41,0
165,1.66,0,0,0,1.36,0.41,0
165,1.66,0,0,0,1.35,0.41,0
165,1.66,0,0,0,1.34,0.41,0
165,1.66,0,0,0,1.33,0.41,0
165,1.66,0,0,0,1.32,0.41,0
165,1.66,0,0,0,1.31,0.41,0
165,1.66,0,0,0,1.3,0.41,0
165,1.66,0,0,0,1.29,0.41,0
165,1.66,0,0,0,1.28,0.41,0
165,1.66,0,0,0,1.27,0.41,0
165,1.66,0,0,0,1.26,0.41,0
165,1.66,0,0,0,1.25,0.41,0
165,1.66,0,0,0,1.24,0.41,0
165,1.66,0,0,0,1.23,0.41,0
165,1.66,0,0,0,1.22,0.41,0
165,1.66,0,0,0,1.21,0.41,0
165,1.66,0,0,0,1.2,0.41,0
165,1.66,0,0,0,1.19,0.41,0
165,1.66,0,0,0,1.18,0.41,0
165,1.66,0,0,0,1.17,0.41,0
165,1.66,0,0,0,1.16,0.41,0
165,1.66,0,0,0,1.15,0.41,0
165,1.66,0,0,0,1.14,0.41,0
165,1.66,0,0,0,1.13,0.41,0
165,1.66,0,0,0,1.12,0.41,0
165,1.66,0,0,0,1.11,0.41,0
165,1.66,0,0,0,1.1,0.41,0
165,1.66,0,0,0,1.09,0.41,0
165,1.66,0,0,0,1.08,0.41,0
165,1.66,0,0,0,1.07,0.41,0
165,1.66,0,0,0,1.06,0.41,0
165,1.66,0,0,0,1.05,0.41,0
165,1.66,0,0,0,1.04,0.41,0
165,1.66,0,0,0,1.03,0.41,0
165,1.66,0,0,0,1.02,0.41,0
165,1.66,0,0,0,1.01,0.41,0
165,1.66,0,0,0,1,0.41,0
165,1.66,0,0,0,0.99,0.41,0
165,1.66,0,0,0,0.98,0.41,0
165,1.66,0,0,0,0.97,0.41,0
165,1.66,0,0,0,0.96,0.41,0
165,1.66,0,0,0,0.95,0.41,0
165,1.66,0,0,0,0.94,0.41,0
165,1.66,0,0,0,0.93,0.41,0
165,1.66,0,0,0,0.92,0.41,0
165,1.66,0,0,0,0.91,0.41,0
165,1.66,0,0,0,0.9,0.41,0
165,1.66,0,0,0,0.89,0.41,0
165,1.66,0,0,0,0.88,0.41,0
165,1.66,0,0,0,0.87,0.41,0
165,1.66,0,0,0,0.86,0.41,0
165,1.66,0,0,0,0.85,0.41,0
165,1.66,0,0,0,0.84,0.41,0
165,1.66,0,0,0,0.83,0.41,0
165,1.66,0,0,0,0.82,0.41,0
165,1.66,0,0,0,0.81,0.41,0
165,1.66,0,0,0,0.8,0.41,0
165,1.66,0,0,0,0.79,0.41,0
165,1.66,0,0,0,0.78,0.41,0
165,1.66,0,0,0,0.77,0.41,0
165,1.66,0,0,0,0.76,0.41,0
165,1.66,0,0,0,0.75,0.41,0
165,1.66,0,0,0,0.74,0.41,0
165,1.66,0,0,0,0.73,0.41,0
165,1.66,0,0,0,0.72,0.41,0
165,1.66,0,0,0,0.71,0.41,0
165,1.66,0,0,0,0.7,0.41,0
165,1.66,0,0,0,0.69,0.41,0
165,1.66,0,0,0,0.68,0.41,0
165,1.66,0,0,0,0.67,0.41,0
165,1.66,0,0,0,0.66,0.41,0
165,1.66,0,0,0,0.65,0.41,0
165,1.66,0,0,0,0.64,0.41,0
165,1.66,0,0,0,0.63,0.41,0
165,1.66,0,0,0,0.62,0.41,0
165,1.66,0,0,0,0.61,0.41,0
165,1.66,0,0,0,0.6,0.41,0
165,1.66,0,0,0,0.59,0.41,0
165,1.66,0,0,0,0.58,0.41,0
165,1.66,0,0,0,0.57,0.41,0
165,1.66,0,0,0,0.56,0.41,0
165,1.66,0,0,0,0.55,0.41,0
165,1.66,0,0,0,0.54,0.41,0
165,1.66,0,0,0,0.53,0.41,0
165,1.66,0,0,0,0.52,0.41,0
165,1.66,0,0,0,0.51,0.41,0
165,1.66,0,0,0,0.5,0.41,0
165,1.66,0,0,0,0.49,0.41,0
165,1.66,0,0,0,0.48,0.41,0
165,1.66,0,0,0,0.47,0.41,0
165,1.66,0,0,0,0.46,0.41,0
165,1.66,0,0,0,0.45,0.41,0
165,1.66,0,0,0,0.44,0.41,0
165,1.66,0,0,0,0.43,0.41,0
165,1.66,0,0,0,0.42,0.41,0
165,1.66,0,0,0,0.41,0.41,0
165,1.66,0,0,0,0.4,0.41,0
165,1.66,0,0,0,0.39,0.41,0
165,1.66,0,0,0,0.38,0.41,0
165,1.66,0,0,0,0.37,0.41,0
165,1.66,0,0,0,0.36,0.41,0
165,1.66,0,0,0,0.35,0.41,0
165,1.66,0,0,0,0.34,0.41,0
165,1.66,0,0,0,0.33,0.41,0
165,1.66,0,0,0,0.32,0.41,0
165,1.66,0,0,0,0.31,0.41,0
165,1.66,0,0,0,0.3,0.41,0
165,1.66,0,0,0,0.29,0.41,0
165,1.66,0,0,0,0.28,0.41,0
165,1.66,0,0,0,0.27,0.41,0
165,1.66,0,0,0,0.26,0.41,0
165,1.66,0,0,0,0.25,0.41,0
165,1.66,0,0,0,0.24,0.41,0
165,1.66,0,0,0,0.23,0.41,0
165,1.66,0,0,0,0.22,0.41,0
165,1.66,0,0,0,0.21,0.41,0
165,1.66,0,0,0,0.2,0.41,0
165,1.66,0,0,0,0.19,0.41,0
165,1.66,0,0,0,0.18,0.41,0
165,1.66,0,0,0,0.17,0.41,0
165,1.66,0,0,0,0.16,0.41,0
165,1.66,0,0,0,0.15,0.41,0
165,1.66,0,0,0,0.14,0.41,0
165,1.66,0,0,0,0.13,0.41,0
165,1.66,0,0,0,0.12,0.41,0
165,1.66,0,0,0,0.11,0.41,0
165,1.66,0,0,0,0.1,0.41,0
165,1.66,0,0,0,0.09,0.41,0
165,1.66,0,0,0,0.08,0.41,0
165,1.66,0,0,0,0.07,0.41,0
165,1.66,0,0,0,0.06,0.41,0
165,1.66,0,0,0,0.05,0.41,0
165,1.66,0,0,0,0.04,0.41,0
165,1.66,0,0,0,0.03,0.41,0
165,1.66,0,0,0,0.02,0.41,0
165,1.66,0,0,0,0.01,0.41,0
165,1.66,0.14277,0,0,0,0.4,0
165,1.66,0.27841,0,0,0,0.39,0
165,1.66,0.4069,0,0,0,0.38,0
165,1.66,0.52826,0,0,0,0.37,0
165,1.66,0.64247,0,0,0,0.36,0
165,1.66,0.74955,0,0,0,0.35,0
165,1.66,0.84949,0,0,0,0.34,0
165,1.66,0.9423,0,0,0,0.33,0
165,1.66,1.028,0,0,0,0.32,0
165,1.66,1.1065,0,0,0,0.31,0
165,1.66,1.1779,0,0,0,0.3,0
165,1.66,1.2421,0,0,0,0.29,0
165,1.66,1.2992,0,0,0,0.28,0
165,1.66,1.3492,0,0,0,0.27,0
165,1.66,1.392,0,0,0,0.26,0
165,1.66,1.4277,0,0,0,0.25,0
165,1.66,1.4563,0,0,0,0.24,0
165,1.66,1.4777,0,0,0,0.23,0
165,1.66,1.492,0,0,0,0.22,0
165,1.66,1.4991,0,0,0,0.21,0
165,1.66,1.4991,0,0,0,0.2,0
165,1.66,1.492,0,0,0,0.19,0
165,1.66,1.4777,0,0,0,0.18,0
165,1.66,1.4563,0,0,0,0.17,0
165,1.66,1.4277,0,0,0,0.16,0
165,1.66,1.392,0,0,0,0.15,0
165,1.66,1.3492,0,0,0,0.14,0
165,1.66,1.2992,0,0,0,0.13,0
165,1.66,1.2421,0,0,0,0.12,0
165,1.66,1.1779,0,0,0,0.11,0
165,1.66,1.1065,0,0,0,0.1,0
165,1.66,1.028,0,0,0,0.09,0
165,1.66,0.9423,0,0,0,0.08,0
165,1.66,0.84949,0,0,0,0.07,0
165,1.66,0.74955,0,0,0,0.06,0
165,1.66,0.64247,0,0,0,0.05,0
165,1.66,0.52826,0,0,0,0.04,0
165,1.66,0.4069,0,0,0,0.03,0
165,1.66,0.27841,0,0,0,0.02,0
165,1.66,0.14277,0,0,0,0.01,0
165,1.66,0,0,0,0.24989,0.20327,0
165,1.66,0,0,0,0.24957,0.20653,0
165,1.66,0,0,0,0.24904,0.20975,0
165,1.66,0,0,0,0.2483,0.21294,0
165,1.66,0,0,0,0.24735,0.21607,0
165,1.66,0,0,0,0.24619,0.21913,0
165,1.66,0,0,0,0.24484,0.22211,0
165,1.66,0,0,0,0.2433,0.225,0
165,1.66,0,0,0,0.24157,0.22778,0
165,1.66,0,0,0,0.23967,0.23044,0
165,1.66,0,0,0,0.23759,0.23297,0
165,1.66,0,0,0,0.23536,0.23536,0
165,1.66,0,0,0,0.23297,0.23759,0
165,1.66,0,0,0,0.23044,0.23967,0
165,1.66,0,0,0,0.22778,0.24157,0
165,1.66,0,0,0,0.225,0.2433,0
165,1.66,0,0,0,0.22211,0.24484,0
165,1.66,0,0,0,0.21913,0.24619,0
165,1.66,0,0,0,0.21607,0.24735,0
165,1.66,0,0,0,0.21294,0.2483,0
165,1.66,0,0,0,0.20975,0.24904,0
165,1.66,0,0,0,0.20653,0.24957,0
165,1.66,0,0,0,0.20327,0.24989,0
165,1.66,0,0,0,0.19673,0.24989,0
165,1.66,0,0,0,0.19347,0.24957,0
165,1.66,0,0,0,0.19025,0.24904,0
165,1.66,0,0,0,0.18706,0.2483,0
165,1.66,0,0,0,0.18393,0.24735,0
165,1.66,0,0,0,0.18087,0.24619,0
165,1.66,0,0,0,0.17789,0.24484,0
165,1.66,0,0,0,0.175,0.2433,0
165,1.66,0,0,0,0.17222,0.24157,0
165,1.66,0,0,0,0.16956,0.23967,0
165,1.66,0,0,0,0.16703,0.23759,0
165,1.66,0,0,0,0.16464,0.23536,0
165,1.66,0,0,0,0.16241,0.23297,0
165,1.66,0,0,0,0.16033,0.23044,0
165,1.66,0,0,0,0.15843,0.22778,0
165,1.66,0,0,0,0.1567,0.225,0
165,1.66,0,0,0,0.15516,0.22211,0
165,1.66,0,0,0,0.15381,0.21913,0
165,1.66,0,0,0,0.15265,0.21607,0
165,1.66,0,0,0,0.1517,0.21294,0
165,1.66,0,0,0,0.15096,0.20975,0
165,1.66,0,0,0,0.15043,0.20653,0
165,1.66,0,0,0,0.15011,0.20327,0
165,1.66,0,0,0,0.15011,0.19673,0
165,1.66,0,0,0,0.15043,0.19347,0
165,1.66,0,0,0,0.15096,0.19025,0
165,1.66,0,0,0,0.1517,0.18706,0
165,1.66,0,0,0,0.15265,0.18393,0
165,1.66,0,0,0,0.15381,0.18087,0
165,1.66,0,0,0,0.15516,0.17789,0
165,1.66,0,0,0,0.1567,0.175,0
165,1.66,0,0,0,0.15843,0.17222,0
165,1.66,0,0,0,0.16033,0.16956,0
165,1.66,0,0,0,0.16241,0.16703,0
165,1.66,0,0,0,0.16464,0.16464,0
165,1.66,0,0,0,0.16703,0.16241,0
165,1.66,0,0,0,0.16956,0.16033,0
165,1.66,0,0,0,0.17222,0.15843,0
165,1.66,0,0,0,0.175,0.1567,0
165,1.66,0,0,0,0.17789,0.15516,0
165,1.66,0,0,0,0.18087,0.15381,0
165,1.66,0,0,0,0.18393,0.15265,0
165,1.66,0,0,0,0.18706,0.1517,0
165,1.66,0,0,0,0.19025,0.15096,0
165,1.66,0,0,0,0.19347,0.15043,0
165,1.66,0,0,0,0.19673,0.15011,0
165,1.66,0,0,0,0.20327,0.15011,0
165,1.66,0,0,0,0.20653,0.15043,0
165,1.66,0,0,0,0.20975,0.15096,0
165,1.66,0,0,0,0.21294,0.1517,0
165,1.66,0,0,0,0.21607,0.15265,0
165,1.66,0,0,0,0.21913,0.15381,0
